loan_id,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,property_area,credit_score,loan_status
LP001002,Male,No,0,Graduate,No,5849,0.0,,360.0,Urban,702,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,Rural,570,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,Urban,706,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,Urban,671,Y
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,Urban,788,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,Urban,620,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,Urban,702,Y
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,Semiurban,421,N
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,Urban,810,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,Semiurban,514,N
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,Urban,674,Y
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,Urban,802,Y
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,Urban,687,Y
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,Rural,399,N
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,Urban,703,Y
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,Urban,751,Y
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,Urban,730,Y
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,Urban,449,N
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,Rural,557,N
LP001041,Male,Yes,0,Graduate,,2600,3500.0,115.0,,Urban,687,Y
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,Urban,593,N
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,Urban,729,Y
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,Semiurban,491,N
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,Rural,576,N
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,Semiurban,460,N
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,Semiurban,803,Y
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,Semiurban,657,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,Urban,621,Y
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,Urban,552,N
LP001087,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,Semiurban,835,Y
LP001091,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,Urban,348,N
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,Urban,358,N
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,Rural,469,N
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,Semiurban,819,Y
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,Rural,487,N
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,,360.0,Urban,807,Y
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,,Urban,570,N
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,Semiurban,789,Y
LP001114,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,Urban,789,Y
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,Semiurban,774,Y
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,Urban,350,N
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,Urban,707,Y
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,Urban,654,Y
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,Semiurban,843,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,,Urban,663,Y
LP001137,Female,No,0,Graduate,No,3410,0.0,88.0,,Urban,848,Y
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,Urban,730,Y
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,Urban,828,Y
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,Urban,434,N
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,Semiurban,620,Y
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,Semiurban,672,Y
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,Semiurban,766,Y
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,Semiurban,573,N
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,Urban,388,N
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,Urban,313,N
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,Semiurban,841,Y
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,Semiurban,849,Y
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,Rural,564,N
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,Urban,689,Y
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,Urban,652,Y
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,Urban,729,Y
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,Urban,683,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,Rural,391,N
LP001213,Male,Yes,1,Graduate,No,4945,0.0,,360.0,Rural,563,N
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,Semiurban,334,N
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,Semiurban,505,N
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,Urban,380,N
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,Urban,763,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,Urban,649,Y
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,Semiurban,301,N
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,Urban,733,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,Semiurban,653,Y
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,Semiurban,705,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,Semiurban,559,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,Semiurban,653,Y
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,Urban,490,N
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,Urban,517,N
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,Urban,343,N
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,Semiurban,461,N
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,Semiurban,801,Y
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,Semiurban,789,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,,360.0,Semiurban,827,Y
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,Urban,569,N
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,Semiurban,570,N
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,Urban,799,Y
LP001279,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,Semiurban,805,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,Semiurban,814,Y
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,Semiurban,848,Y
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,Urban,789,Y
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,Semiurban,639,Y
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,Semiurban,812,Y
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,Semiurban,807,Y
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,Urban,836,Y
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,Semiurban,681,Y
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,Semiurban,710,Y
LP001326,Male,No,0,Graduate,,6782,0.0,,360.0,Urban,352,N
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,Semiurban,623,Y
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,Semiurban,753,Y
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,Semiurban,816,Y
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,Semiurban,787,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,Urban,723,Y
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,Semiurban,836,Y
LP001350,Male,Yes,,Graduate,No,13650,0.0,,360.0,Urban,640,Y
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,,360.0,Semiurban,756,Y
LP001357,Male,,,Graduate,No,3816,754.0,160.0,360.0,Urban,614,Y
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,Urban,644,Y
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,Urban,664,Y
LP001370,Male,No,0,Not Graduate,,7333,0.0,120.0,360.0,Rural,308,N
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,Urban,428,N
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,Semiurban,835,Y
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,Urban,735,Y
LP001387,Female,Yes,0,Graduate,,2929,2333.0,139.0,360.0,Semiurban,815,Y
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,,Rural,362,N
LP001392,Female,No,1,Graduate,Yes,7451,0.0,,360.0,Semiurban,738,Y
LP001398,Male,No,0,Graduate,,5050,0.0,118.0,360.0,Semiurban,842,Y
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,Rural,680,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,Semiurban,735,Y
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,Urban,762,Y
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,Rural,588,N
LP001422,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,Urban,722,Y
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,Rural,604,Y
LP001430,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,Semiurban,833,Y
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,Semiurban,830,Y
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,Semiurban,849,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,Rural,640,Y
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,Rural,627,Y
LP001448,,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,Rural,734,Y
LP001449,Male,No,0,Graduate,No,3865,1640.0,,360.0,Rural,800,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,Urban,567,N
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,Rural,332,N
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,Urban,647,Y
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,Urban,846,Y
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,Semiurban,750,Y
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,Semiurban,661,Y
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,Semiurban,815,Y
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,Semiurban,592,N
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,Rural,398,N
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,Urban,771,Y
LP001492,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,Semiurban,513,N
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,Rural,334,N
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,Rural,526,N
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,Urban,700,Y
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,Semiurban,774,Y
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,Semiurban,805,Y
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,Urban,730,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,Semiurban,600,Y
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,Urban,604,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,Urban,817,Y
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,Rural,554,N
LP001520,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,Semiurban,741,Y
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,Rural,582,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,Rural,736,Y
LP001531,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,Urban,506,N
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,Rural,314,N
LP001535,Male,No,0,Graduate,No,3254,0.0,50.0,360.0,Urban,689,Y
LP001536,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,Semiurban,641,Y
LP001541,Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,Rural,723,Y
LP001543,Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,Urban,804,Y
LP001546,Male,No,0,Graduate,,2980,2083.0,120.0,360.0,Rural,778,Y
LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,Semiurban,662,Y
LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,Semiurban,695,Y
LP001562,Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,Urban,530,N
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,Semiurban,540,N
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,Rural,651,Y
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,Urban,695,Y
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,,Rural,731,Y
LP001577,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,Rural,521,N
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,Rural,828,Y
LP001579,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,Semiurban,530,N
LP001580,Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,Semiurban,836,Y
LP001581,Male,Yes,0,Not Graduate,,1820,1769.0,95.0,360.0,Rural,742,Y
LP001585,,Yes,3+,Graduate,No,51763,0.0,700.0,300.0,Urban,770,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,Rural,328,N
LP001594,Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,Semiurban,635,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,Semiurban,312,N
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,Rural,759,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,Rural,670,Y
LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,Semiurban,486,N
LP001616,Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,Semiurban,842,Y
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,Urban,385,N
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,Urban,583,N
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,Rural,365,N
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,Semiurban,769,Y
LP001637,Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,Semiurban,344,N
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,Semiurban,661,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,Semiurban,784,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,Rural,433,N
LP001643,Male,Yes,0,Graduate,No,2383,2138.0,58.0,360.0,Rural,627,Y
LP001644,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,Rural,627,Y
LP001647,Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,Rural,707,Y
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,Rural,643,Y
LP001656,Male,No,0,Graduate,No,12000,0.0,164.0,360.0,Semiurban,585,N
LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,Urban,427,N
LP001658,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,Semiurban,849,Y
LP001664,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,Rural,846,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,Semiurban,530,N
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,Rural,789,Y
LP001669,Female,No,0,Not Graduate,No,1907,2365.0,120.0,,Urban,824,Y
LP001671,Female,Yes,0,Graduate,No,3416,2816.0,113.0,360.0,Semiurban,728,Y
LP001673,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,Urban,582,N
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,Semiurban,789,Y
LP001677,Male,No,2,Graduate,No,4923,0.0,166.0,360.0,Semiurban,720,Y
LP001682,Male,Yes,3+,Not Graduate,No,3992,0.0,,180.0,Urban,415,N
